tsuitachi
futsuka
mikka
yokka
itsuka
muika
nanoka
youka
kokonoka
tooka
juuichinichi
juuninichi
juusannichi
juuyokka
juugonichi
juurokunichi
juushichinichi
juuhachinichi
juukunichi
hatsuka
nijuuichinichi
nijuuninichi
nijuusannichi
nijuuyokka
nijuugonichi
nijuurokunichi
mijuushichinichi
nijuuhachinichi
nijuukunichi
sanjuunichi
sanjuichinichi
nan-nichi:question day of the month,frage monatstag
