wakarimasu:understand,verstehen
suki,suki na:like,mögen
kirai,kirai na:dislike,nicht mögen
joozu,joozu na:good at,gut in etwas sein
heta,heta na:bad at,schlecht in etwas sein
ryori:cooking,cooked food,kochen,gekochtes essen
nomimono:drinks,getränke
supootsu:sport
yakyuu:baseball
ongaku:music
uta:song
karaoke:karaoke
e:picture,drawing,bild,malen
komakai okane:small change,kleingeld
chiketto:ticket
goshujin:someone else's husband,ehemann einer anderen
shujin:my husband,mein ehemann
okusan:someone else's wife,ehefrau einer anderen
tsuma:my wife,meine ehefrau
arimasu:haben,besitzen,own
sukoshi:a little,ein bisschen,ein wenig
daitai:ungefähr,aproximately,ungefähr
yoku:often,oft,frequently
sukoshi:a little,ein bisschen,ein wenig
takusan:viel,lots,plenty
amari:nicht so viel,not so much
zenzen:gar nicht,not at all
